t,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
0.043500,0.173195,0.195663,0.000000,0.972096,0.000000,0.000000,0.234584,1.981611,-1.397477,0.000000,0.000000,0.000000,149.909402
0.044000,0.175176,0.194263,0.000000,0.951810,0.000000,0.000000,0.306687,1.981404,-1.402007,0.000000,0.000000,0.000000,149.908361
0.044500,0.177157,0.192859,0.000000,0.926185,0.000000,0.000000,0.377068,1.981196,-1.406537,0.000000,0.000000,0.000000,149.907320
0.045000,0.179139,0.191450,0.000000,0.895364,0.000000,0.000000,0.445334,1.980989,-1.411065,0.000000,0.000000,0.000000,149.906279
0.045500,0.181119,0.190037,0.000000,0.859521,0.000000,0.000000,0.511101,1.980781,-1.415592,0.000000,0.000000,0.000000,149.905238
0.046000,0.183100,0.188619,0.000000,0.818855,0.000000,0.000000,0.574000,1.980574,-1.420119,0.000000,0.000000,0.000000,149.904197
0.046500,0.185081,0.187197,0.000000,0.773596,0.000000,0.000000,0.633679,1.980367,-1.424644,0.000000,0.000000,0.000000,149.903156
0.047000,0.187061,0.185770,0.000000,0.723998,0.000000,0.000000,0.689802,1.980160,-1.429169,0.000000,0.000000,0.000000,149.902115
0.047500,0.189041,0.184338,0.000000,0.670339,0.000000,0.000000,0.742055,1.979953,-1.433692,0.000000,0.000000,0.000000,149.901074
0.048000,0.191021,0.182902,0.000000,0.612919,0.000000,0.000000,0.790146,1.979746,-1.438215,0.000000,0.000000,0.000000,149.900033
0.048500,0.193000,0.181462,0.000000,0.552062,0.000000,0.000000,0.833803,1.979539,-1.442737,0.000000,0.000000,0.000000,149.898992
0.049000,0.194980,0.180017,0.000000,0.488108,0.000000,0.000000,0.872783,1.979332,-1.447258,0.000000,0.000000,0.000000,149.897951
0.049500,0.196959,0.178567,0.000000,0.421417,0.000000,0.000000,0.906867,1.979125,-1.451777,0.000000,0.000000,0.000000,149.896910
0.050000,0.198938,0.177113,0.000000,0.352362,0.000000,0.000000,0.935864,1.978918,-1.456296,0.000000,0.000000,0.000000,149.895869
0.050500,0.200917,0.175655,0.000000,0.281332,0.000000,0.000000,0.959611,1.978711,-1.460814,0.000000,0.000000,0.000000,149.894828
