t,x,y,E
13080.0,-9.720289043679515e8,-2.3509311786467242e8,-3.3371499885267938e34
13140.0,-9.682685070063475e8,-2.5012945237389562e8,-3.3371499885486905e34
13200.0,-9.642755194778339e8,-2.6510570191654953e8,-3.3371499885719394e34
13260.0,-9.600509008662125e8,-2.800182689885968e8,-3.3371499885965377e34
13320.0,-9.555956658919568e8,-2.9486357137945807e8,-3.3371499886224756e34
13380.0,-9.509108846686063e8,-3.096380430323101e8,-3.337149988649751e34
13440.0,-9.459976824458622e8,-3.243381349005086e8,-3.3371499886783536e34
13500.0,-9.408572393394456e8,-3.3896031579992956e8,-3.3371499887082798e34
13560.0,-9.354907900477825e8,-3.5350107325702584e8,-3.337149988739521e34
13620.0,-9.298996235555842e8,-3.6795691435239416e8,-3.3371499887720704e34
13680.0,-9.240850828243934e8,-3.8232436655965114e8,-3.337149988805918e34
13740.0,-9.180485644701715e8,-3.965999785794164e8,-3.3371499888410576e34
13800.0,-9.117915184280022e8,-4.1078032116820294e8,-3.33714998887748e34
13860.0,-9.053154476039941e8,-4.248619879620158e8,-3.3371499889151766e34
13920.0,-8.986219075144634e8,-4.388415962944615e8,-3.3371499889541384e34
13980.0,-8.917125059124852e8,-4.527157880091715e8,-3.337149988994356e34
14040.0,-8.845889024019017e8,-4.6648123026634514e8,-3.33714998903582e34
14100.0,-8.772528080388801e8,-4.801346163432184e8,-3.3371499890785193e34
14160.0,-8.697059849211156e8,-4.936726664282661e8,-3.337149989122445e34
14220.0,-8.619502457647784e8,-5.070921284089474e8,-3.3371499891675875e34
14280.0,-8.539874534693049e8,-5.2038977865280485e8,-3.3371499892139327e34
14340.0,-8.458195206701391e8,-5.335624227817303e8,-3.3371499892614727e34
14400.0,-8.374484092795298e8,-5.466068964392111e8,-3.337149989310194e34
14460.0,-8.288761300154952e8,-5.59520066050373e8,-3.337149989360085e34
14520.0,-8.201047419190655e8,-5.722988295746363e8,-3.337149989411134e34
14580.0,-8.11136351859922e8,-5.849401172508068e8,-3.3371499894633317e34
14640.0,-8.019731140305495e8,-5.974408923344193e8,-3.3371499895166604e34
14700.0,-7.926172294290228e8,-6.097981518271598e8,-3.3371499895711105e34
14760.0,-7.830709453305528e8,-6.220089271981894e8,-3.337149989626669e34
14820.0,-7.733365547479181e8,-6.34070285097197e8,-3.3371499896833207e34
14880.0,-7.63416395880911e8,-6.45979328059011e8,-3.3371499897410535e34
14940.0,-7.533128515549303e8,-6.577331951995978e8,-3.3371499897998543e34
15000.0,-7.430283486488562e8,-6.693290629032836e8,-3.3371499898597075e34
15060.0,-7.325653575123425e8,-6.807641455010313e8,-3.3371499899205993e34
15120.0,-7.219263913726681e8,-6.920356959396117e8,-3.337149989982514e34
15180.0,-7.111140057312887e8,-7.031410064415073e8,-3.3371499900454395e34
15240.0,-7.001307977502327e8,-7.140774091553907e8,-3.337149990109357e34
15300.0,-6.889794056284907e8,-7.248422767970204e8,-3.337149990174252e34
15360.0,-6.776625079685453e8,-7.354330232804015e8,-3.337149990240111e34
15420.0,-6.661828231331956e8,-7.45847104339058e8,-3.3371499903069166e34
15480.0,-6.545431085928289e8,-7.5608201813727e8,-3.3371499903746553e34
15540.0,-6.427461602632966e8,-7.66135305871125e8,-3.3371499904433053e34
15600.0,-6.307948118345538e8,-7.76004552359243e8,-3.3371499905128565e34
15660.0,-6.186919340902222e8,-7.856873866230309e8,-3.337149990583289e34
15720.0,-6.064404342182406e8,-7.951814824563271e8,-3.3371499906545865e34
15780.0,-5.94043255112768e8,-8.044845589843005e8,-3.33714999072673e34
15840.0,-5.815033746675066e8,-8.135943812114686e8,-3.3371499907997033e34
15900.0,-5.688238050606135e8,-8.225087605587027e8,-3.337149990873489e34
15960.0,-5.560075920313749e8,-8.312255553890924e8,-3.3371499909480705e34
16020.0,-5.430578141488131e8,-8.397426715225416e8,-3.3371499910234264e34
16080.0,-5.299775820724042e8,-8.480580627389729e8,-3.337149991099543e34
16140.0,-5.167700378050827e8,-8.561697312700199e8,-3.3371499911764e34
16200.0,-5.0343835393871236e8,-8.640757282790881e8,-3.3371499912539784e34
16260.0,-4.899857328922047e8,-8.717741543296697e8,-3.3371499913322618e34
16320.0,-4.764154061424671e8,-8.792631598417991e8,-3.3371499914112286e34
16380.0,-4.627306334483656e8,-8.865409455365405e8,-3.3371499914908623e34
16440.0,-4.48934702067889e8,-8.936057628683987e8,-3.3371499915711416e34
16500.0,-4.350309259687003e8,-9.004559144455508e8,-3.337149991652049e34
16560.0,-4.2102264503226745e8,-9.070897544377973e8,-3.3371499917335638e34
16620.0,-4.069132242517622e8,-9.135056889721335e8,-3.337149991815667e34
16680.0,-3.9270605292392033e8,-9.197021765158471e8,-3.337149991898339e34
16740.0,-3.784045438350572e8,-9.256777282470491e8,-3.3371499919815576e34
16800.0,-3.6401213244143426e8,-9.314309084125493e8,-3.3371499920653072e34
16860.0,-3.4953227604417235e8,-9.369603346729895e8,-3.337149992149565e34
16920.0,-3.3496845295891035e8,-9.422646784351526e8,-3.337149992234311e34
16980.0,-3.203241616804086e8,-9.473426651713657e8,-3.3371499923195237e34
17040.0,-3.0560292004229707e8,-9.521930747259216e8,-3.3371499924051853e34
17100.0,-2.9080826437217045e8,-9.568147416084447e8,-3.337149992491273e34
17160.0,-2.759437486422325e8,-9.612065552741297e8,-3.3371499925777666e34
17220.0,-2.610129436156937e8,-9.653674603907876e8,-3.3371499926646466e34
17280.0,-2.4601943598912755e8,-9.692964570926315e8,-3.337149992751891e34
17340.0,-2.309668275309905e8,-9.729926012207438e8,-3.3371499928394784e34
17400.0,-2.1585873421651304e8,-9.764550045501655e8,-3.337149992927389e34
17460.0,-2.0069878535916921e8,-9.796828350035527e8,-3.3371499930156014e34
17520.0,-1.8549062273893338e8,-9.826753168513485e8,-3.3371499931040923e34
17580.0,-1.7023789972753325e8,-9.85431730898424e8,-3.337149993192844e34
17640.0,-1.5494428041090938e8,-9.879514146571401e8,-3.3371499932818336e34
17700.0,-1.3961343870909178e8,-9.902337625067904e8,-3.3371499933710384e34
17760.0,-1.2424905749370484e8,-9.922782258393861e8,-3.3371499934604373e34
17820.0,-1.088548277033128e8,-9.940843131917477e8,-3.33714999355001e34
17880.0,-9.343444745681784e7,-9.956515903638706e8,-3.3371499936397336e34
17940.0,-7.79916211651239e7,-9.969796805235379e8,-3.3371499937295896e34
18000.0,-6.253005864127954e7,-9.980682642971523e8,-3.337149993819554e34
18060.0,-4.705347420931355e7,-9.989170798467675e8,-3.3371499939096035e34
18120.0,-3.1565585811977286e7,-9.995259229332985e8,-3.3371499939997186e34
18180.0,-1.6070114117608162e7,-9.998946469658955e8,-3.3371499940898794e34
18240.0,-570781.6263286881,-1.0000231630374717e9,-3.3371499941800623e34
18300.0,1.4928688224204147e7,-9.999114399463716e8,-3.3371499942702433e34
18360.0,3.042457195328439e7,-9.995595042041789e8,-3.3371499943604046e34
18420.0,4.5913146931662634e7,-9.98967440029659e8,-3.337149994450525e34
18480.0,6.139069227585663e7,-9.98135389328838e8,-3.3371499945405794e34
18540.0,7.685348974205215e7,-9.97063551661223e8,-3.3371499946305484e34
18600.0,9.229782461937936e7,-9.957521841921713e8,-3.3371499947204094e34
18660.0,1.0771998662234996e8,-9.942016016314192e8,-3.33714999481014e34
18720.0,1.2311627078224091e8,-9.924121761577858e8,-3.337149994899721e34
18780.0,1.384829783372102e8,-9.90384337330069e8,-3.3371499949891286e34
18840.0,1.5381641762093118e8,-9.881185719841546e8,-3.3371499950783412e34
18900.0,1.6911290494953135e8,-9.856154241163635e8,-3.337149995167341e34
18960.0,1.843687655066232e8,-9.828754947530644e8,-3.3371499952561005e34
19020.0,1.9958033422621375e8,-9.798994418065828e8,-3.3371499953446052e34
19080.0,2.1474395667328078e8,-9.766879799174415e8,-3.3371499954328286e34
19140.0,2.2985598992180434e8,-9.732418802829691e8,-3.3371499955207537e34
19200.0,2.4491280343004218e8,-9.695619704723185e8,-3.3371499956083554e34
19260.0,2.5991077991283894e8,-9.656491342279383e8,-3.337149995695614e34
19320.0,2.748463162107593e8,-9.615043112535455e8,-3.33714999578251e34
19380.0,2.897158241558359e8,-9.571284969886507e8,-3.337149995869023e34
19440.0,3.045157314337248e8,-9.525227423696873e8,-3.337149995955129e34
19500.0,3.192424824420599e8,-9.47688153577805e8,-3.33714999604081e34
19560.0,3.338925391448009e8,-9.426258917733855e8,-3.337149996126042e34
19620.0,3.484623819223695e8,-9.373371728173448e8,-3.3371499962108076e34
19680.0,3.6294851041736823e8,-9.31823266979289e8,-3.3371499962950866e34
19740.0,3.773474443756804e8,-9.260854986325939e8,-3.337149996378859e34
19800.0,3.916557244827469e8,-9.201252459364793e8,-3.337149996462101e34
19860.0,4.058699131948205e8,-9.139439405051575e8,-3.337149996544797e34
19920.0,4.199865955649968e8,-9.075430670641315e8,-3.3371499966269233e34
19980.0,4.340023800638229e8,-9.009241630937289e8,-3.337149996708464e34
20040.0,4.479138993942878e8,-8.940888184599543e8,-3.3371499967893967e34
20100.0,4.617178113009968e8,-8.870386750327495e8,-3.3371499968697036e34
20160.0,4.754107993733365e8,-8.797754262917539e8,-3.337149996949364e34
