time,posX,posY,posZ,oriW,oriX,oriY,oriZ,velX,velY,velZ,angX,angY,angZ
0.127000,0.000000,0.020264,0.000000,-0.999464,-0.032740,0.000000,0.000000,0.000000,-1.245870,0.000000,50.000000,0.000000,0.000000
0.128000,0.000000,0.019009,0.000000,-0.998333,-0.057709,0.000000,0.000000,0.000000,-1.255680,0.000000,50.000000,0.000000,0.000000
0.129000,0.000000,0.017743,0.000000,-0.996579,-0.082641,0.000000,0.000000,0.000000,-1.265490,0.000000,50.000000,0.000000,0.000000
0.130000,0.000000,0.016468,0.000000,-0.994203,-0.107522,0.000000,0.000000,0.000000,-1.275300,0.000000,50.000000,0.000000,0.000000
0.131000,0.000000,0.015183,0.000000,-0.991205,-0.132336,0.000000,0.000000,0.000000,-1.285110,0.000000,50.000000,0.000000,0.000000
0.132000,0.000000,0.013888,0.000000,-0.987588,-0.157067,0.000000,0.000000,0.000000,-1.294920,0.000000,50.000000,0.000000,0.000000
0.133000,0.000000,0.012583,0.000000,-0.983354,-0.181700,0.000000,0.000000,0.000000,-1.304730,0.000000,50.000000,0.000000,0.000000
0.134000,0.000000,0.011269,0.000000,-0.978506,-0.206219,0.000000,0.000000,0.000000,-1.314540,0.000000,50.000000,0.000000,0.000000
0.135000,0.000000,0.009944,0.000000,-0.973046,-0.230610,0.000000,0.000000,0.000000,-1.324350,0.000000,50.000000,0.000000,0.000000
0.136000,0.000000,0.008610,0.000000,-0.966979,-0.254856,0.000000,0.000000,0.000000,-1.334160,0.000000,50.000000,0.000000,0.000000
0.137000,0.000000,0.007266,0.000000,-0.960307,-0.278944,0.000000,0.000000,0.000000,-1.343970,0.000000,50.000000,0.000000,0.000000
0.138000,0.000000,0.005912,0.000000,-0.953036,-0.302857,0.000000,0.000000,0.000000,-1.353780,0.000000,50.000000,0.000000,0.000000
0.139000,0.000000,0.004549,0.000000,-0.945169,-0.326581,0.000000,0.000000,0.000000,-1.363590,0.000000,50.000000,0.000000,0.000000
0.140000,0.000000,0.003175,0.000000,-0.936712,-0.350101,0.000000,0.000000,0.000000,-1.373400,0.000000,50.000000,0.000000,0.000000
0.141000,0.000000,0.001792,0.000000,-0.927670,-0.373402,0.000000,0.000000,0.000000,-1.383210,0.000000,50.000000,0.000000,0.000000
0.142000,0.000000,0.000399,0.000000,-0.918048,-0.396470,0.000000,0.000000,0.000000,-1.393020,0.000000,50.000000,0.000000,0.000000
0.143000,0.000000,-0.001004,0.000000,-0.907852,-0.419290,0.000000,0.000000,0.000000,-1.402830,0.000000,50.000000,0.000000,0.000000
0.144000,0.000000,-0.002416,0.000000,-0.897090,-0.441848,0.000000,0.000000,0.000000,-1.412640,0.000000,50.000000,0.000000,0.000000
0.145000,0.000000,-0.003839,0.000000,-0.885767,-0.464130,0.000000,0.000000,0.000000,-1.422450,0.000000,50.000000,0.000000,0.000000
0.146000,0.000000,-0.005271,0.000000,-0.873891,-0.486123,0.000000,0.000000,0.000000,-1.432260,0.000000,50.000000,0.000000,0.000000
0.147000,0.000000,-0.006713,0.000000,-0.861468,-0.507811,0.000000,0.000000,0.000000,-1.442070,0.000000,50.000000,0.000000,0.000000
0.148000,0.000000,-0.008165,0.000000,-0.848508,-0.529182,0.000000,0.000000,0.000000,-1.451880,0.000000,50.000000,0.000000,0.000000
0.149000,0.000000,-0.009627,0.000000,-0.835018,-0.550223,0.000000,0.000000,0.000000,-1.461690,0.000000,50.000000,0.000000,0.000000
0.150000,0.000000,-0.011098,0.000000,-0.821005,-0.570920,0.000000,0.000000,0.000000,-1.471500,0.000000,50.000000,0.000000,0.000000
0.151000,0.000000,-0.012580,0.000000,-0.806480,-0.591261,0.000000,0.000000,0.000000,-1.481310,0.000000,50.000000,0.000000,0.000000
0.152000,0.000000,-0.014071,0.000000,-0.791452,-0.611232,0.000000,0.000000,0.000000,-1.491120,0.000000,50.000000,0.000000,0.000000
0.153000,0.000000,-0.015572,0.000000,-0.775928,-0.630821,0.000000,0.000000,0.000000,-1.500930,0.000000,50.000000,0.000000,0.000000
0.154000,0.000000,-0.017082,0.000000,-0.759920,-0.650016,0.000000,0.000000,0.000000,-1.510740,0.000000,50.000000,0.000000,0.000000
0.155000,0.000000,-0.018603,0.000000,-0.743438,-0.668805,0.000000,0.000000,0.000000,-1.520550,0.000000,50.000000,0.000000,0.000000
0.156000,0.000000,-0.020133,0.000000,-0.726491,-0.687176,0.000000,0.000000,0.000000,-1.530360,0.000000,50.000000,0.000000,0.000000
0.157000,0.000000,-0.021673,0.000000,-0.709090,-0.705118,0.000000,0.000000,0.000000,-1.540170,0.000000,50.000000,0.000000,0.000000
0.158000,0.000000,-0.023223,0.000000,-0.691246,-0.722620,0.000000,0.000000,0.000000,-1.549980,0.000000,50.000000,0.000000,0.000000
0.159000,0.000000,-0.024783,0.000000,-0.672970,-0.739670,0.000000,0.000000,0.000000,-1.559790,0.000000,50.000000,0.000000,0.000000
0.160000,0.000000,-0.026353,0.000000,-0.654274,-0.756258,0.000000,0.000000,0.000000,-1.569600,0.000000,50.000000,0.000000,0.000000
0.161000,0.000000,-0.027932,0.000000,-0.635169,-0.772373,0.000000,0.000000,0.000000,-1.579410,0.000000,50.000000,0.000000,0.000000
0.162000,0.000000,-0.029521,0.000000,-0.615667,-0.788006,0.000000,0.000000,0.000000,-1.589220,0.000000,50.000000,0.000000,0.000000
0.163000,0.000000,-0.031120,0.000000,-0.595781,-0.803147,0.000000,0.000000,0.000000,-1.599030,0.000000,50.000000,0.000000,0.000000
0.164000,0.000000,-0.032729,0.000000,-0.575522,-0.817786,0.000000,0.000000,0.000000,-1.608840,0.000000,50.000000,0.000000,0.000000
0.165000,0.000000,-0.034348,0.000000,-0.554904,-0.831914,0.000000,0.000000,0.000000,-1.618650,0.000000,50.000000,0.000000,0.000000
0.166000,0.000000,-0.035976,0.000000,-0.533940,-0.845523,0.000000,0.000000,0.000000,-1.628460,0.000000,50.000000,0.000000,0.000000
0.167000,0.000000,-0.037615,0.000000,-0.512641,-0.858603,0.000000,0.000000,0.000000,-1.638270,0.000000,50.000000,0.000000,0.000000
0.168000,0.000000,-0.039263,0.000000,-0.491023,-0.871147,0.000000,0.000000,0.000000,-1.648080,0.000000,50.000000,0.000000,0.000000
0.169000,0.000000,-0.040921,0.000000,-0.469098,-0.883146,0.000000,0.000000,0.000000,-1.657890,0.000000,50.000000,0.000000,0.000000
0.170000,0.000000,-0.042588,0.000000,-0.446879,-0.894594,0.000000,0.000000,0.000000,-1.667700,0.000000,50.000000,0.000000,0.000000
0.171000,0.000000,-0.044266,0.000000,-0.424382,-0.905483,0.000000,0.000000,0.000000,-1.677510,0.000000,50.000000,0.000000,0.000000
0.172000,0.000000,-0.045953,0.000000,-0.401619,-0.915807,0.000000,0.000000,0.000000,-1.687320,0.000000,50.000000,0.000000,0.000000
0.173000,0.000000,-0.047650,0.000000,-0.378606,-0.925558,0.000000,0.000000,0.000000,-1.697130,0.000000,50.000000,0.000000,0.000000
0.174000,0.000000,-0.049357,0.000000,-0.355356,-0.934731,0.000000,0.000000,0.000000,-1.706940,0.000000,50.000000,0.000000,0.000000
0.175000,0.000000,-0.051074,0.000000,-0.331884,-0.943320,0.000000,0.000000,0.000000,-1.716750,0.000000,50.000000,0.000000,0.000000
0.176000,0.000000,-0.052801,0.000000,-0.308205,-0.951320,0.000000,0.000000,0.000000,-1.726560,0.000000,50.000000,0.000000,0.000000
