t,θ1,ω1,θ2,ω2
3.5800,0.026042,-1.578670,-0.746711,-2.260839
3.5900,0.009922,-1.644688,-0.768656,-2.128086
3.6000,-0.006839,-1.707051,-0.789272,-1.995078
3.6100,-0.024207,-1.765864,-0.808557,-1.861818
3.6200,-0.042145,-1.821242,-0.826508,-1.728324
3.6300,-0.060621,-1.873308,-0.843123,-1.594631
3.6400,-0.079601,-1.922196,-0.858400,-1.460791
3.6500,-0.099054,-1.968042,-0.872338,-1.326871
3.6600,-0.118952,-2.010984,-0.884937,-1.192951
3.6700,-0.139265,-2.051164,-0.896198,-1.059127
3.6800,-0.159966,-2.088720,-0.906121,-0.925507
3.6900,-0.181031,-2.123784,-0.914709,-0.792214
3.7000,-0.202434,-2.156482,-0.921966,-0.659387
3.7100,-0.224153,-2.186927,-0.927899,-0.527179
3.7200,-0.246166,-2.215219,-0.932513,-0.395762
3.7300,-0.268451,-2.241435,-0.935817,-0.265331
3.7400,-0.290988,-2.265633,-0.937823,-0.136105
3.7500,-0.313757,-2.287839,-0.938544,-0.008332
3.7600,-0.336738,-2.308043,-0.937996,0.117706
3.7700,-0.359911,-2.326200,-0.936197,0.241685
3.7800,-0.383254,-2.342214,-0.933170,0.363234
3.7900,-0.406747,-2.355942,-0.928942,0.481930
3.8000,-0.430365,-2.367180,-0.923543,0.597292
3.8100,-0.454082,-2.375668,-0.917009,0.708775
3.8200,-0.477868,-2.381082,-0.909382,0.815771
3.8300,-0.501692,-2.383036,-0.900710,0.917612
3.8400,-0.525516,-2.381091,-0.891049,1.013576
3.8500,-0.549299,-2.374761,-0.880461,1.102906
3.8600,-0.572995,-2.363535,-0.869016,1.184831
3.8700,-0.596552,-2.346892,-0.856792,1.258598
3.8800,-0.619913,-2.324341,-0.843873,1.323514
3.8900,-0.643017,-2.295443,-0.830353,1.378991
3.9000,-0.665799,-2.259850,-0.816327,1.424585
3.9100,-0.688191,-2.217336,-0.801895,1.460045
3.9200,-0.710123,-2.167819,-0.787160,1.485338
3.9300,-0.731524,-2.111374,-0.772222,1.500663
3.9400,-0.752328,-2.048233,-0.757178,1.506449
3.9500,-0.772468,-1.978771,-0.742122,1.503328
3.9600,-0.791884,-1.903485,-0.727139,1.492102
3.9700,-0.810520,-1.822955,-0.712304,1.473686
3.9800,-0.828328,-1.737814,-0.697686,1.449062
3.9900,-0.845263,-1.648712,-0.683340,1.419222
4.0000,-0.861291,-1.556286,-0.669315,1.385128
4.0100,-0.876380,-1.461134,-0.655649,1.347676
4.0200,-0.890506,-1.363803,-0.642370,1.307669
4.0300,-0.903650,-1.264776,-0.629502,1.265808
4.0400,-0.915798,-1.164468,-0.617058,1.222683
4.0500,-0.926937,-1.063229,-0.605051,1.178777
4.0600,-0.937060,-0.961346,-0.593484,1.134470
4.0700,-0.946162,-0.859049,-0.582362,1.090046
4.0800,-0.954240,-0.756516,-0.571683,1.045710
4.0900,-0.961292,-0.653885,-0.561447,1.001590
4.1000,-0.967318,-0.551254,-0.551650,0.957757
4.1100,-0.972318,-0.448693,-0.542291,0.914225
4.1200,-0.976292,-0.346245,-0.533365,0.870967
4.1300,-0.979243,-0.243933,-0.524871,0.827921
4.1400,-0.981171,-0.141767,-0.516806,0.784995
4.1500,-0.982079,-0.039740,-0.509171,0.742075
4.1600,-0.981966,0.062162,-0.501965,0.699031
4.1700,-0.980836,0.163960,-0.495191,0.655718
4.1800,-0.978688,0.265682,-0.488852,0.611983
4.1900,-0.975522,0.367357,-0.482953,0.567668
4.2000,-0.971340,0.469019,-0.477501,0.522613
4.2100,-0.966142,0.570698,-0.472504,0.476660
4.2200,-0.959926,0.672427,-0.467971,0.429655
4.2300,-0.952693,0.774234,-0.463915,0.381452
4.2400,-0.944441,0.876145,-0.460347,0.331916
4.2500,-0.935170,0.978177,-0.457281,0.280929
4.2600,-0.924877,1.080342,-0.454733,0.228391
4.2700,-0.913562,1.182638,-0.452719,0.174230
4.2800,-0.901224,1.285051,-0.451254,0.118404
4.2900,-0.887861,1.387546,-0.450356,0.060909
4.3000,-0.873473,1.490066,-0.450042,0.001790
4.3100,-0.858060,1.592523,-0.450326,-0.058851
4.3200,-0.841623,1.694794,-0.451223,-0.120845
4.3300,-0.824165,1.796709,-0.452746,-0.183941
4.3400,-0.805691,1.898047,-0.454904,-0.247792
4.3500,-0.786207,1.998518,-0.457703,-0.311943
4.3600,-0.765725,2.097763,-0.461142,-0.375813
4.3700,-0.744258,2.195338,-0.465216,-0.438687
4.3800,-0.721825,2.290708,-0.469910,-0.499699
4.3900,-0.698453,2.383247,-0.475200,-0.557838
